Hugo_Symbol,TCGA-AC-A2BM-01A-11R-A21T-07,TCGA-A8-A075-01A-11R-A084-07,TCGA-A2-A0EM-01A-11R-A034-07,TCGA-A7-A3J1-01A-11R-A213-07,TCGA-BH-A0BO-01A-23R-A12D-07,TCGA-A8-A08L-01A-11R-A00Z-07,TCGA-AN-A0FW-01A-11R-A034-07,TCGA-E2-A1L9-01A-11R-A13Q-07,TCGA-E2-A15K-01A-11R-A12P-07,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-AC-A3OD-01A-11R-A21T-07,TCGA-AN-A0AT-01A-11R-A034-07,TCGA-A7-A0DC-01A-11R-A00Z-07,TCGA-AR-A1AU-01A-11R-A12P-07,TCGA-E9-A228-01A-31R-A157-07,TCGA-A2-A0D2-01A-21R-A034-07,TCGA-E2-A1AZ-01A-11R-A12P-07,TCGA-D8-A1XF-01A-11R-A14D-07,TCGA-AR-A1AH-01A-11R-A12D-07,TCGA-AN-A03Y-01A-21R-A00Z-07,TCGA-BH-A0HQ-01A-11R-A034-07,TCGA-A8-A090-01A-11R-A00Z-07,TCGA-AC-A3BB-01A-21R-A19W-07,TCGA-A8-A08B-01A-11R-A00Z-07,TCGA-EW-A1PC-01B-11R-A21T-07,TCGA-A8-A081-01A-11R-A00Z-07,TCGA-C8-A12O-01A-11R-A115-07
KIF1C,974.5,1225.22,1304.15,1794.29,1561.89,480.04,909.17,848.22,1407.55,1295.13,387.02,928.3,764.36,1268.46,483.38,1757.34,981.29,507.46,961.07,884.29,1551.09,743.43,1167.14,483.38,902.89,447.82,1143.1
SWAP70,387.02,575.03,733.19,633.73,1674.06,426.57,289.02,547.75,551.56,379.04,759.08,902.89,325.29,595.34,181.28,525.39,575.03,258.57,320.8,358.54,518.15,941.27,642.59,441.64,389.72,483.38,748.61
PAK1,748.61,693.58,1583.71,1059.11,1015.93,173.85,860.08,1001.93,642.59,486.75,1870.53,830.75,2835.7,1457.23,2664.15,536.45,878.17,2400.97,748.61,6935.54,674.59,1001.93,941.27,1151.06,616.37,688.78,595.34
PLEKHM3,31.22,23.25,22.43,48.87,31.45,55.89,17.25,10.39,8.85,9.41,220.32,29.91,20.11,38.67,22.59,11.55,28.86,45.21,27.44,4.74,22.1,21.78,8.65,8.92,12.93,45.21,27.25
MCFD2,928.3,1295.13,1088.92,890.44,1331.57,708.18,651.58,941.27,743.43,708.18,1023,1407.55,1119.56,961.07,974.5,830.75,1388.16,1073.91,921.88,693.58,921.88,1111.82,728.11,629.35,743.43,1844.76,1037.29
RBM12,1001.93,878.17,848.22,941.27,1242.34,780.44,995,555.41,595.34,339.14,808,854.13,909.17,1088.92,854.13,674.59,1044.52,1151.06,748.61,579.04,775.05,1066.48,518.15,579.04,967.76,1199.98,718.08
KRT86,1.01,31.45,5.32,22.43,51.35,267.73,3.99,4.54,8.78,3190.46,22.59,232.94,6.52,17.13,1.48,450.94,12.18,1.36,6.46,16.03,27.05,7.06,21.94,61.25,24.11,1628.26,16.03
PSMD12,974.5,1104.13,733.19,616.37,1119.56,1427.22,1605.83,928.3,669.92,457.25,525.39,1870.53,785.88,769.69,1498.22,961.07,1977.24,890.44,1628.26,660.68,669.92,1457.23,518.15,748.61,1540.37,1467.37,1081.39
SLC7A11,53.19,5.23,9.2,24.81,11.3,5.54,4.58,21.32,8.51,5.92,190.34,37.85,41.81,11.13,18.03,88.88,30.78,28.45,13.83,87.65,21.01,167.9,4.03,21.16,9.63,7.46,36.53
BTN3A1,320.8,397.93,172.65,854.13,438.59,248,232.94,381.68,551.56,633.73,669.92,237.86,74.06,343.89,224.97,209.84,785.88,217.27,305.55,341.51,420.68,384.34,441.64,684.02,409.15,493.56,591.22
